591115016	93	1	115A040	01	0	2	87                          	3                           	英語語法	
591115017	93	1	115A015	01	0	1		4                           	碩士論文	
591115017	93	1	115A038	01	0	2	88                          	3                           	ESL/EFL課室教學議題	
591235007	93	1	235A005	01	0	1	73                          	3                           	應用數值分析	
591235007	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
591235014	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
591235014	93	1	235A012	01	0	1	85                          	3                           	碩士論文(二)	
591235018	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
591235018	93	1	235A012	01	0	1	85                          	3                           	碩士論文(二)	
591235024	93	1	235A005	01	0	1	83                          	3                           	應用數值分析	
591235024	93	1	235A006	01	0	1	78                          	3                           	震波測勘學	
591320007	93	1	320A018	01	0	1		3                           	碩士論文(二)	
591320008	93	1	320A018	01	0	1		3                           	碩士論文(二)	
591320012	93	1	320A018	01	0	1		3                           	碩士論文(二)	
591320014	93	1	320A018	01	0	1		3                           	碩士論文(二)	
591320017	93	1	320A018	01	0	1		3                           	碩士論文(二)	
591320018	93	1	320A017	01	0	1		3                           	碩士論文(一)	
591320019	93	1	320A006	01	0	2	90                          	3                           	工作社會學	
591320019	93	1	320A017	01	0	1		3                           	碩士論文(一)	
591320019	93	1	605A005	01	0	2	94                          	2                           	勞動法(一)	
591320021	93	1	320A018	01	0	1		3                           	碩士論文(二)	
591330004	93	1	330A290	01	0	1	90                          	3                           	碩士論文(一)	
591330005	93	1	330A291	01	0	1	90                          	3                           	碩士論文(二)	
591330008	93	1	330A290	01	0	1		3                           	碩士論文(一)	
591330009	93	1	330A290	01	0	1	90                          	3                           	碩士論文(一)	
591330011	93	1	330A291	01	0	1	89                          	3                           	碩士論文(二)	
591330012	93	1	330A291	01	0	1	90                          	3                           	碩士論文(二)	
591330013	93	1	330A290	01	0	1		3                           	碩士論文(一)	
591330014	93	1	330A290	01	0	1		3                           	碩士論文(一)	
591330015	93	1	330A291	01	0	1		3                           	碩士論文(二)	
591330016	93	1	330A200	01	0	1	88                          	3                           	公共行政理論	
591330016	93	1	330A244	01	0	2	85                          	3                           	全球化與東亞政治經濟	
591330018	93	1	330A290	01	0	1	90                          	3                           	碩士論文(一)	
591330019	93	1	330A143	01	0	2	88                          	3                           	兩岸關係與大陸政策	
591330019	93	1	330A200	01	0	1	84                          	3                           	公共行政理論	
591330019	93	1	330A244	01	0	2	82                          	3                           	全球化與東亞政治經濟	
591330020	93	1	330A200	01	0	1	81                          	3                           	公共行政理論	
591330020	93	1	330A244	01	0	2	85                          	3                           	全球化與東亞政治經濟	
591330021	93	1	330A291	01	0	1	89                          	3                           	碩士論文(二)	
591330022	93	1	330A290	01	0	1		3                           	碩士論文(一)	
591330026	93	1	330A290	01	0	1	90                          	3                           	碩士論文(一)	
591330028	93	1	330A291	01	0	1	87                          	3                           	碩士論文(二)	
591330029	93	1	330A290	01	0	1		3                           	碩士論文(一)	
591330030	93	1	330A291	01	0	1	90                          	3                           	碩士論文(二)	
591510002	93	1	510A009	01	0	2	88                          	3                           	碩士論文(二)	
591510002	93	1	510A567	01	0	2		3                           	國際金融市場	
